"id"	"name"	"pid"	"type"	"status"	"level"	"select"	"code"	"toCode"	"createTime"	"updateTime"
"1"	"全部数据"	"0"	"1"	"null"	"1"	"0"	""	"null"	"8/5/2024 23:29:00.058"	"8/5/2024 23:26:22"
"4"	"权限管理"	"1"	"1"		"2"		"Acl"		"8/5/2024 15:40:49.868"	"9/5/2024 07:45:29.346"
"5"	"二级菜单"	"1"	"1"		"2"		"二级菜单"		"9/5/2024 07:26:46.816"	"9/5/2024 07:26:46.816"
"6"	"三级菜单"	"5"	"1"		"3"		"三级菜单"		"9/5/2024 07:26:56.653"	"9/5/2024 07:26:56.653"
"7"	"按钮"	"6"	"2"		"4"		"按钮"		"9/5/2024 07:27:05.378"	"9/5/2024 07:27:05.378"
"10"	"用户管理"	"4"	"1"		"3"		"User"		"9/5/2024 07:45:54.726"	"9/5/2024 07:45:54.726"
"11"	"添加用户"	"10"	"2"		"4"		"btn.User.add"		"9/5/2024 07:46:03.817"	"9/5/2024 07:46:21.844"
"12"	"删除用户"	"10"	"2"		"4"		"btn.User.remove"		"9/5/2024 07:46:38.668"	"9/5/2024 07:46:38.668"
"13"	"修改用户"	"10"	"2"		"4"		"btn.User.update"		"9/5/2024 07:46:47.87"	"9/5/2024 07:46:47.87"
"14"	"分配角色"	"10"	"2"		"4"		"btn.User.assgin"		"9/5/2024 07:46:59.284"	"9/5/2024 07:46:59.284"
"15"	"角色管理"	"4"	"1"		"3"		"Role"		"9/5/2024 07:47:15.611"	"9/5/2024 07:47:15.611"
"16"	"菜单管理"	"4"	"1"		"3"		"Permission"		"9/5/2024 07:47:28.468"	"9/5/2024 07:47:28.468"
"17"	"分配权限"	"15"	"2"		"4"		"btn.Role.assgin"		"9/5/2024 07:54:04.181"	"9/5/2024 07:54:04.181"
"18"	"添加角色"	"15"	"2"		"4"		"btn.Role.add"		"9/5/2024 07:54:20.42"	"9/5/2024 07:54:20.42"
"19"	"更新角色"	"15"	"2"		"4"		"btn.Role.update"		"9/5/2024 07:54:32.051"	"9/5/2024 07:54:32.051"
"20"	"删除角色"	"15"	"2"		"4"		"btn.Role.remove"		"9/5/2024 07:54:42.897"	"9/5/2024 07:54:42.897"
"21"	"添加菜单"	"16"	"2"		"4"		"btn.Permission.add"		"9/5/2024 07:54:59.787"	"9/5/2024 07:54:59.787"
"22"	"更新菜单"	"16"	"2"		"4"		"btn.Permission.update"		"9/5/2024 07:55:10.856"	"9/5/2024 07:55:10.856"
"23"	"删除菜单"	"16"	"2"		"4"		"btn.Permission.remove"		"9/5/2024 07:55:23.242"	"9/5/2024 07:55:23.242"
